x,E(x),H(x)
0,100,0.506455
0.01,97.555333,0.484286
0.02,94.212918,0.458049
0.03,90.041517,0.428168
0.04,85.115664,0.395088
0.05,79.514682,0.35927
0.06,73.321688,0.321184
0.07,66.622607,0.281305
0.08,59.505182,0.240109
0.09,52.058015,0.198066
0.1,44.369633,0.155635
0.11,36.527588,0.113265
0.12,28.617605,0.071382
0.13,20.722781,0.030396
0.14,12.922841,-0.009313
0.15,5.293458,-0.04739
0.16,-2.09436,-0.08351
0.17,-9.174812,-0.117382
0.18,-15.887772,-0.148749
0.19,-22.17918,-0.177388
0.2,-28.001357,-0.203113
0.21,-33.313245,-0.225776
0.22,-38.080565,-0.245265
0.23,-42.275908,-0.261504
0.24,-45.878742,-0.274454
0.25,-48.875358,-0.28411
0.26,-51.258747,-0.290503
0.27,-53.028406,-0.293693
0.28,-54.190097,-0.293771
0.29,-54.755544,-0.290859
0.3,-54.742081,-0.2851
0.31,-54.172262,-0.276663
0.32,-43.073424,-0.26574
0.33,-51.477231,-0.252535
0.34,-49.419177,-0.237273
0.35,-46.938083,-0.220189
0.36,-44.075568,-0.201525
0.37,-40.875521,-0.181535
0.38,-37.383565,-0.160472
0.39,-33.646525,-0.138592
0.4,-29.711907,-0.116149
0.41,-25.627388,-0.093394
0.42,-21.440322,-0.070569
0.43,-17.197274,-0.047911
0.44,-12.943576,-0.025642
0.45,-8.722912,-0.003975
0.46,-4.576938,0.016893
0.47,-0.544938,0.036782
0.48,3.336484,0.055526
0.49,7.033673,0.07298
0.5,10.516154,0.089015
0.51,13.756812,0.103524
0.52,16.732046,0.116418
0.53,19.421866,0.127629
0.54,21.80996,0.137107
0.55,23.883718,0.144824
0.56,25.634216,0.150768
0.57,27.056163,0.154948
0.58,28.147815,0.157391
0.59,28.910857,0.158137
0.6,29.35025,0.157246
0.61,29.474056,0.15479
0.62,29.293236,0.150855
0.63,28.821424,0.145537
0.64,28.074687,0.138944
0.65,27.071267,0.131194
0.66,25.831311,0.122409
0.67,24.376591,0.112718
0.68,22.730221,0.102257
0.69,20.91637,0.09116
0.7,18.959975,0.079566
0.71,16.886458,0.067611
0.72,14.721446,0.055431
0.73,12.490507,0.043159
0.74,10.218889,0.030923
0.75,7.931274,0.018846
0.76,5.651554,0.007045
0.77,3.402614,-0.00437
0.78,1.206141,-0.015299
0.79,-0.917554,-0.02565
0.8,-2.949683,-0.035338
0.81,-4.873122,-0.044292
0.82,-6.67251,-0.052449
0.83,-8.334347,-0.059756
0.84,-9.847054,-0.066173
0.85,-11.201016,-0.071667
0.86,-12.388606,-0.076221
0.87,-13.404186,-0.079822
0.88,-14.244085,-0.082472
0.89,-14.90656,-0.08418
0.9,-15.391743,-0.084966
0.91,-15.701563,-0.084857
0.92,-15.839658,-0.083889
0.93,-15.811273,-0.082105
0.94,-15.623143,-0.079555
0.95,-15.283367,-0.076295
0.96,-14.801273,-0.072384
0.97,-14.187276,-0.067889
0.98,-13.452729,-0.062877
0.99,-12.609774,-0.057419
1,-11.671181,-0.051589
1.01,-10.650204,-0.04546
1.02,-9.560417,-0.039105
1.03,-8.415571,-0.032599
1.04,-7.229445,-0.026013
1.05,-6.015703,-0.019418
1.06,-4.787762,-0.01288
1.07,-3.558662,-0.006464
1.08,-2.340952,-0.000231
1.09,-1.146579,0.005762
1.1,0.013211,0.011466
1.11,1.12796,0.016831
1.12,2.18807,0.021818
1.13,3.184873,0.02639
1.14,4.11068,0.030516
1.15,4.958823,0.034172
1.16,5.72368,0.037339
1.17,6.400696,0.040003
1.18,6.986385,0.042158
1.19,7.478324,0.0438
1.2,7.875141,0.044933
1.21,8.17648,0.045564
1.22,8.382974,0.045708
1.23,8.496194,0.045382
1.24,8.518601,0.044606
1.25,8.453482,0.043407
