refindex,wavelength
1.44737,1.30712
1.44732,1.30958
1.44726,1.31206
1.44721,1.31455
1.44715,1.31706
1.4471,1.31957
1.44705,1.32209
1.44701,1.32463
1.44696,1.32718
1.44691,1.32973
1.44687,1.3323
1.44683,1.33488
1.44679,1.33748
1.44674,1.34008
1.4467,1.34269
1.44666,1.34532
1.44663,1.34795
1.44659,1.3506
1.44655,1.35325
1.44651,1.35592
1.44647,1.3586
1.44644,1.36129
1.4464,1.36399
1.44636,1.36671
1.44633,1.36943
1.44629,1.37216
1.44626,1.37491
1.44622,1.37767
1.44618,1.38043
1.44615,1.38321
1.44611,1.386
1.44607,1.3888
1.44604,1.39162
1.446,1.39444
1.44596,1.39728
1.44592,1.40012
1.44589,1.40298
1.44585,1.40585
1.44581,1.40874
1.44577,1.41163
1.44573,1.41453
1.44569,1.41745
1.44565,1.42038
1.44561,1.42332
1.44557,1.42627
1.44553,1.42924
1.44549,1.43222
1.44545,1.43521
1.4454,1.43821
1.44536,1.44122
1.44532,1.44425
1.44528,1.44729
1.44523,1.45034
1.44519,1.4534
1.44514,1.45648
1.4451,1.45957
1.44505,1.46267
1.44501,1.46579
1.44496,1.46892
1.44491,1.47206
1.44487,1.47521
1.44482,1.47838
1.44477,1.48156
1.44472,1.48476
1.44468,1.48797
1.44463,1.49119
1.44458,1.49443
1.44453,1.49768
1.44448,1.50095
1.44443,1.50423
1.44438,1.50752
1.44433,1.51083
1.44428,1.51415
1.44423,1.51749
1.44418,1.52084
1.44413,1.52421
1.44408,1.52759
1.44403,1.53099
1.44398,1.5344
1.44392,1.53783
1.44387,1.54127
1.44382,1.54473
1.44377,1.54821
1.44372,1.5517
1.44367,1.5552
1.44361,1.55873
1.44356,1.56227
1.44351,1.56582
1.44346,1.56939
1.44341,1.57298
1.44335,1.57659
1.4433,1.58021
1.44325,1.58385
1.4432,1.5875
1.44314,1.59117
1.44309,1.59487
1.44304,1.59857
1.44299,1.6023
1.44294,1.60604
1.44288,1.6098
1.44283,1.61358
1.44278,1.61738
1.44273,1.62119
1.44268,1.62503
1.44263,1.62888
1.44258,1.63275
1.44252,1.63664
1.44247,1.64055
1.44242,1.64448
1.44237,1.64842
1.44232,1.65239
