velocity,amplitude
143.3424,-0.121047
143.2944,-0.22426
143.2463,-0.049317
143.1982,0.063467
143.1501,0.010043
143.102,-0.049084
143.054,-0.02534
143.0059,0.090259
142.9578,0.020362
142.9097,-0.072871
142.8617,0.018499
142.8136,0.052397
142.7655,0.095955
142.7174,0.073917
142.6694,-0.113898
142.6213,-0.161011
142.5732,-0.135814
142.5251,0.001109
142.477,0.315971
142.429,0.280502
142.3809,0.068911
142.3328,0.187731
142.2847,0.183512
142.2366,-0.125969
142.1886,-0.322739
142.1405,-0.340963
142.0924,-0.385455
142.0443,-0.413046
141.9963,-0.310484
141.9482,-0.186898
141.9001,-0.048929
141.852,-0.0487
141.8039,-0.095046
141.7559,-0.039101
141.7078,-0.036353
141.6597,-0.009028
141.6116,0.075073
141.5635,-0.002462
141.5155,-0.155389
141.4674,-0.206935
141.4193,-0.110279
141.3712,0.193205
141.3232,0.257394
141.2751,-0.026603
141.227,-0.098111
141.1789,0.088839
141.1309,0.078761
141.0828,-0.031134
141.0347,0.199833
140.9866,0.210828
140.9385,-0.123893
140.8905,-0.105891
140.8424,-0.005683
140.7943,-0.145217
140.7462,-0.280382
140.6981,-0.18694
140.6501,-0.122539
140.602,-0.100359
140.5539,-0.08034
140.5058,-0.229189
140.4578,-0.168444
140.4097,0.073625
140.3616,0.145762
140.3135,0.073337
140.2654,0.080368
140.2174,0.140053
140.1693,0.006957
140.1212,-0.158266
140.0731,0.016127
140.0251,0.177337
139.977,-0.008421
139.9289,-0.165448
139.8808,-0.191439
139.8327,-0.154924
139.7847,-0.177764
139.7366,-0.292994
139.6885,-0.332642
139.6404,-0.239537
139.5924,0.022479
139.5443,0.161091
139.4962,0.035895
139.4481,0.026376
139.4,-0.015852
139.352,-0.208601
139.3039,-0.129026
139.2558,0.024153
139.2077,0.047185
139.1596,0.100868
139.1116,0.088054
139.0635,-0.085987
139.0154,-0.169183
138.9673,-0.090476
138.9193,-0.01137
138.8712,-0.013822
138.8231,0.001824
138.775,0.161335
138.7269,0.004298
138.6789,-0.208728
138.6308,-0.116454
138.5827,-0.084071
138.5346,-0.071162
138.4866,0.085209
138.4385,0.156886
138.3904,-0.035221
138.3423,0.009805
138.2943,0.243485
138.2462,0.148723
138.1981,-0.029705
138.15,-0.08121
138.1019,-0.152969
138.0539,-0.179974
138.0058,-0.04311
137.9577,-0.005048
137.9096,-0.112933
137.8615,0.008155
137.8135,0.154676
137.7654,-0.009292
137.7173,-0.123339
137.6692,-0.044744
137.6212,-0.084204
137.5731,-0.087866
137.525,-0.053207
137.4769,-0.026696
137.4289,0.066903
137.3808,-0.016494
137.3327,-0.102328
137.2846,-0.035127
137.2365,-0.014934
137.1885,0.049547
137.1404,0.287265
137.0923,0.34523
137.0442,0.179876
136.9961,0.077298
136.9481,-0.128433
136.9,-0.373457
136.8519,-0.320491
136.8038,-0.043062
136.7558,0.044409
136.7077,-0.122612
136.6596,-0.155653
136.6115,-0.036083
136.5634,0.071388
136.5154,0.177934
136.4673,0.397648
136.4192,0.543044
136.3711,0.318215
136.323,0.128826
136.275,0.051267
136.2269,-0.069714
136.1788,-0.036012
136.1307,-0.006281
136.0827,-0.012723
136.0346,0.007818
135.9865,-0.03497
135.9384,-0.037077
135.8904,0.169396
135.8423,0.366362
135.7942,0.210565
135.7461,-0.063807
135.698,-0.174323
135.65,-0.205572
135.6019,-0.062176
135.5538,0.149936
135.5057,0.191862
135.4577,0.200087
135.4096,0.234105
135.3615,0.274505
135.3134,0.235576
135.2653,0.19792
135.2173,0.188067
135.1692,0.09271
135.1211,-0.158672
135.073,-0.1915
135.0249,0.141893
134.9769,0.057026
134.9288,-0.113614
134.8807,0.158753
134.8326,0.330134
134.7846,0.398095
134.7365,0.558786
134.6884,0.508564
134.6403,0.203966
134.5922,-0.006675
134.5442,-0.049401
134.4961,-0.06085
134.448,-0.118426
134.3999,-0.26627
134.3519,-0.236703
134.3038,-0.054529
134.2557,-0.028021
134.2076,0.06012
134.1595,0.12534
134.1115,-0.056001
134.0634,-0.095519
134.0153,0.034498
133.9672,-0.02819
133.9192,-0.22774
133.8711,-0.164076
133.823,0.039085
133.7749,0.133503
133.7268,0.209375
133.6788,0.277799
133.6307,0.449249
133.5826,0.296761
133.5345,0.050935
133.4864,0.167543
133.4384,-0.058147
133.3903,-0.32692
133.3422,-0.158571
133.2941,0.00596
133.2461,0.107679
133.198,0.151892
133.1499,0.062477
133.1018,-0.019904
133.0538,-0.025042
133.0057,0.022832
132.9576,0.068741
132.9095,-0.037587
132.8614,-0.092166
132.8134,0.213682
132.7653,0.355855
132.7172,0.133273
132.6691,-0.008544
132.621,-0.071018
132.573,-0.03537
132.5249,0.043004
132.4768,-0.017319
132.4287,-0.16626
132.3807,-0.220736
132.3326,-0.117733
132.2845,-0.085551
132.2364,0.004023
132.1883,0.172452
132.1403,0.174469
132.0922,0.154362
132.0441,0.182705
131.996,0.044233
131.9479,-0.105891
131.8999,0.01993
131.8518,0.108903
131.8037,0.223994
131.7556,0.345025
131.7076,0.16559
131.6595,-0.124378
131.6114,-0.297684
131.5633,-0.135537
131.5153,0.030427
131.4672,-0.126393
131.4191,-0.217429
131.371,-0.125158
131.3229,-0.064324
131.2749,0.044362
131.2268,0.083528
131.1787,-0.032446
131.1306,-0.07116
131.0825,0.097857
131.0345,0.298246
130.9864,0.261418
130.9383,0.065368
130.8902,0.029306
130.8422,0.142397
130.7941,0.087598
130.746,0.024175
130.6979,0.005957
130.6498,-0.103107
130.6018,-0.155352
130.5537,-0.054268
130.5056,0.095845
130.4575,0.083758
130.4095,-0.058943
130.3614,-0.001032
130.3133,0.24718
130.2652,0.159769
130.2172,-0.094799
130.1691,-0.040248
130.121,0.175131
130.0729,0.196068
130.0248,0.027058
129.9768,0.142411
129.9287,0.360619
129.8806,0.451536
129.8325,0.518931
129.7844,0.410194
129.7364,0.190497
129.6883,0.184461
129.6402,0.237855
129.5921,0.082582
129.5441,0.146135
129.496,0.250535
129.4479,-0.057981
129.3998,-0.352097
129.3517,-0.053013
129.3037,0.356465
129.2556,0.243769
129.2075,0.055165
129.1594,0.010286
129.1113,-0.047932
129.0633,-0.168625
129.0152,-0.122078
128.9671,0.157623
128.919,0.213631
128.871,0.058843
128.8229,0.044002
128.7748,0.183254
128.7267,0.220073
128.6787,-0.041677
128.6306,-0.287828
128.5825,-0.112658
128.5344,0.02474
128.4863,-0.186972
128.4383,-0.123023
128.3902,0.160642
128.3421,0.070092
128.294,-0.05802
128.2459,0.098872
128.1979,0.202175
128.1498,0.135974
128.1017,0.094109
128.0536,0.056121
128.0056,-0.000596
127.9575,-0.044247
127.9094,-0.190543
127.8613,-0.276733
127.8132,-0.088156
127.7652,0.154653
127.7171,0.217621
127.669,0.019261
127.6209,-0.190945
127.5729,-0.062893
127.5248,0.170636
127.4767,0.360662
127.4286,0.284005
127.3805,0.078638
127.3325,0.170486
127.2844,0.21079
127.2363,0.096998
127.1882,0.030153
127.1402,-0.050802
127.0921,-0.186068
127.044,-0.167499
126.9959,-0.126696
126.9478,-0.273547
126.8998,-0.278015
126.8517,-0.019147
126.8036,0.226615
126.7555,0.316755
126.7074,0.20101
126.6594,-0.049195
126.6113,-0.194124
126.5632,-0.164127
126.5151,-0.137675
126.4671,-0.167032
126.419,-0.069654
126.3709,-0.041687
126.3228,-0.196782
126.2747,-0.229735
126.2267,-0.08331
126.1786,-0.005721
126.1305,-0.095516
126.0824,-0.169047
126.0344,-0.016735
125.9863,0.242593
125.9382,0.278712
125.8901,0.161546
125.8421,0.206755
125.794,0.262698
125.7459,0.013152
125.6978,-0.173998
125.6497,-0.107367
125.6017,-0.054293
125.5536,-0.092368
125.5055,-0.227985
125.4574,-0.187359
125.4094,-0.041486
125.3613,-0.044101
125.3132,0.102295
125.2651,0.295682
125.217,0.241285
125.169,0.167135
125.1209,0.132199
125.0728,0.123968
125.0247,0.373301
124.9767,0.481418
124.9286,0.14101
124.8805,-0.054059
124.8324,-0.037307
124.7843,0.019122
124.7363,0.106163
124.6882,-0.03753
124.6401,-0.194576
124.592,-0.145668
124.5439,0.017655
124.4959,0.086174
124.4478,-0.256955
124.3997,-0.472024
124.3516,-0.159132
124.3036,0.083973
124.2555,0.083913
124.2074,0.110301
124.1593,0.19943
124.1112,0.188711
124.0632,0.082999
124.0151,0.021294
123.967,-0.108062
123.9189,-0.28799
123.8709,-0.213247
123.8228,0.079585
123.7747,0.232083
123.7266,0.188213
123.6785,0.18467
123.6305,0.268251
123.5824,0.256277
123.5343,0.029533
123.4862,-0.162388
123.4381,0.027911
123.3901,0.187392
123.342,0.121944
123.2939,0.037219
123.2458,-0.032384
123.1978,0.020599
123.1497,0.038
123.1016,0.113449
123.0535,0.247308
123.0054,0.250603
122.9574,0.091128
122.9093,0.025437
122.8612,0.065684
122.8131,0.125317
122.7651,0.290455
122.717,0.171058
122.6689,0.027493
122.6208,0.086064
122.5727,0.113375
122.5247,0.07209
122.4766,-0.054464
122.4285,-0.102407
122.3804,-0.100395
122.3324,0.053299
122.2843,0.292659
122.2362,0.215256
122.1881,-0.034711
122.1401,-0.213292
122.092,-0.19117
122.0439,-0.129186
121.9958,-0.10709
121.9477,0.125427
121.8997,0.228867
121.8516,0.22995
121.8035,0.302884
121.7554,0.111143
121.7073,-0.053904
121.6593,0.030709
121.6112,0.239977
121.5631,0.372515
121.515,0.10692
121.4669,-0.131128
121.4189,-0.078949
121.3708,-0.064075
121.3227,-0.06081
121.2746,-0.099439
121.2266,-0.163274
121.1785,0.003003
121.1304,0.019524
121.0823,-0.379838
121.0343,-0.451052
120.9862,-0.202917
120.9381,-0.284947
120.89,-0.308623
120.8419,-0.109267
120.7939,-0.049531
120.7458,-0.131784
120.6977,-0.146528
120.6496,0.030818
120.6016,0.109313
120.5535,0.052101
120.5054,0.079641
120.4573,0.093885
120.4092,0.052319
120.3612,0.187501
120.3131,0.382929
120.265,0.259133
120.2169,0.122115
120.1689,0.221335
120.1208,0.148518
120.0727,-0.025341
120.0246,0.096634
119.9765,0.238758
119.9285,0.144597
119.8804,0.011532
119.8323,-0.070737
119.7842,-0.07129
119.7361,-0.060817
119.6881,-0.183527
119.64,-0.273362
119.5919,-0.203601
119.5438,-0.130941
119.4958,-0.110297
119.4477,-0.058547
119.3996,0.02563
119.3515,0.017357
119.3034,0.061678
119.2554,0.190196
119.2073,0.18406
119.1592,0.195429
119.1111,0.199163
119.0631,0.102498
119.015,0.103811
118.9669,0.09323
118.9188,0.007845
118.8707,0.041046
118.8227,0.112868
118.7746,0.21396
118.7265,0.14845
118.6784,-0.061652
118.6304,-0.050023
118.5823,-0.058103
118.5342,-0.047032
118.4861,-0.002294
118.438,-0.17605
118.39,-0.309771
118.3419,-0.122888
118.2938,0.11583
118.2457,0.063604
118.1976,-0.028076
118.1496,0.027784
118.1015,0.108158
118.0534,0.171922
118.0053,0.23157
117.9573,0.30197
117.9092,0.359736
117.8611,0.247947
117.813,0.057169
117.7649,0.023924
117.7169,0.055878
117.6688,-0.018041
117.6207,-0.161043
117.5726,-0.164545
117.5246,-0.015689
117.4765,0.032591
117.4284,-0.03463
117.3803,0.05113
